record_id,split
119f9726-eb4c-5a0e-a7bb-9e15256149a1.h5,train
5bf0f969-304c-581e-949c-50c108f62846.h5,train
37d0da97-9ae8-5413-b889-4e843ff35488.h5,train
bb474ab0-c2ce-573b-8acd-ef86b0fa26a2.h5,train
14c012bd-65b0-56f5-bc74-2dffcea69837.h5,train
844f68ba-265e-53e6-bf47-6c85d1804a7b.h5,train
1da3544e-dc5c-5795-adc3-f5068959211f.h5,train
a4568951-bf87-5bbc-bc4f-28e93c360be6.h5,train
64959ac4-53b5-5868-a845-c7476e9fdf7b.h5,train
b5d5785d-87ee-5078-b9b9-aac6abd4d8de.h5,train
a30245e3-4a71-565f-9636-92e7d2e825fc.h5,train
d3cadb78-cb8c-5a6e-885c-392e457c68b1.h5,train
18ede714-aba3-5ad8-bb1a-18fc9b1c4192.h5,train
7d778801-88e7-5086-ad1d-70f31a371876.h5,train
769df255-2284-50b3-8917-2155c759fbbd.h5,train
095d6e40-5f19-55b6-a0ec-6e0ad3793da0.h5,val
7ab8ff5f-a77f-567d-9882-f8bee0c3c9bf.h5,val
a25b2296-343b-53f6-8792-ada2669d466e.h5,val
0d79f4b1-e74f-5e87-8e42-f9dd7112ada5.h5,val
f2a69bdc-ed51-5e3f-b102-6b3f7d392be0.h5,val
3e842aa8-bcd9-521e-93a2-72124233fe2c.h5,test
aa160c78-6da3-5e05-8fc9-d6c13e9f97e0.h5,test
25a6b2b0-4d09-561b-82c6-f09bb271d3be.h5,test
1fa6c401-d819-50f5-8146-a0bb9e2b2516.h5,test
67fa8e29-6f4d-530e-9422-bbc3aca86ed0.h5,test
